price_per_night,room_type,person_capacity,bedrooms,city,day_type,price_per_person,host_is_superhost,host_type,guest_satisfaction_overall,cleanliness_rating,distance_to_center_km,distance_to_metro_km,attraction_index_normalized,restaurant_index_normalized,longitude,latitude,location_category,is_price_outlier,scraped_property_type,Reviews,Ratings
67.89399625,Private room,2,1,lisbon,weekday,33.94699812,FALSE,Professional,83,8,0.080281049,0.184237205,15.9510656,61.65660025,-9.13887,38.71196,city_center,FALSE,"Room in Lisbon, Portugal",661,4.82
79.50281426,Private room,2,1,lisbon,weekday,39.75140713,FALSE,Professional,94,9,2.958955107,0.311146239,3.153341842,11.19483875,-9.13607,38.73889,near_center,FALSE,"Room in Lisbon, Portugal",45,4.87
137.0778612,Entire home/apt,3,2,lisbon,weekend,45.69262039,FALSE,Professional,80,9,1.350086114,0.298999001,5.334456873,28.60356055,-9.15324,38.71823,near_center,FALSE,"Entire rental unit in Lisbon, Portugal",304,4.89
44.44183865,Private room,2,1,lisbon,weekend,22.22091932,FALSE,individual,93,10,2.042379863,0.452063601,4.018646749,20.19094929,-9.14177,38.7307,near_center,FALSE,"Private room in rental unit in Lisbon, Portugal",1,5
124.4136961,Entire home/apt,2,1,lisbon,weekend,62.20684803,FALSE,Professional,98,10,1.388713194,0.235066458,5.314774196,24.65037668,-9.13476,38.72429,near_center,FALSE,"Entire rental unit in Lisbon, Portugal",392,4.88
158.0675422,Entire home/apt,4,2,lisbon,weekday,39.51688555,FALSE,individual,90,9,3.464206,2.787373685,3.461500451,10.26837437,-9.1767,38.70093,suburban,FALSE,"Entire rental unit in Lisbon, Portugal",35,4.94
94.27767355,Entire home/apt,4,1,lisbon,weekend,23.56941839,FALSE,Professional,76,8,0.980504597,0.455417157,10.60992307,37.0175018,-9.12857,38.7141,city_center,FALSE,"Entire rental unit in Lisbon, Portugal",78,4.73
119.6060038,Entire home/apt,6,2,lisbon,weekend,19.93433396,FALSE,semi_professional,85,8,0.743443183,0.640230784,8.696954487,46.37686045,-9.148,38.711,city_center,FALSE,"Entire rental unit in Lisbon, Portugal",357,4.95
135.9052533,Entire home/apt,3,1,lisbon,weekend,45.30175109,FALSE,Professional,80,9,1.142991624,0.71381095,5.853488282,33.19105004,-9.15198,38.70884,near_center,FALSE,"Entire serviced apartment in Lisbon, Portugal",11,4.73
120.3095685,Entire home/apt,2,1,lisbon,weekday,60.15478424,FALSE,individual,100,10,1.486915307,0.472559182,4.949529985,19.87852961,-9.15618,38.71575,near_center,FALSE,"Entire rental unit in Lisbon, Portugal",114,4.93
174.249531,Entire home/apt,6,3,lisbon,weekday,29.04158849,FALSE,semi_professional,95,9,1.336974467,0.343235295,6.12570101,24.61890951,-9.14759,38.72268,near_center,FALSE,"Entire rental unit in Lisbon, Portugal",21,4.71
108.2317073,Entire home/apt,4,2,lisbon,weekend,27.05792683,TRUE,individual,91,9,1.119788952,0.669617547,6.142802714,33.07203163,-9.14372,38.72194,near_center,FALSE,"Entire rental unit in Lisbon, Portugal",18,4.67
81.84803002,Entire home/apt,2,1,lisbon,weekday,40.92401501,FALSE,semi_professional,85,9,3.310919678,1.703340939,3.001351262,8.304799484,-9.10868,38.72976,suburban,FALSE,"Room in Lisbon, Portugal",33,4.76
117.260788,Entire home/apt,4,1,lisbon,weekday,29.315197,TRUE,semi_professional,96,10,1.455477624,0.658915056,4.98629582,20.172365,-9.15623,38.71407,near_center,FALSE,"Entire rental unit in Lisbon, Portugal",343,4.99
56.16791745,Private room,2,1,lisbon,weekend,28.08395872,FALSE,Professional,90,10,3.348615484,0.295304114,2.886242526,11.85309938,-9.13051,38.74169,suburban,FALSE,"Private room in rental unit in Lisbon, Portugal",1,5
264.3058161,Entire home/apt,6,2,lisbon,weekend,44.05096936,TRUE,Professional,92,9,0.298833399,0.184485767,17.35126178,64.32039825,-9.138,38.71,city_center,FALSE,"Entire condo in Lisbon, Portugal",3,5
90.75984991,Private room,2,1,lisbon,weekend,45.37992495,FALSE,Professional,100,10,2.827433515,0.19707678,3.241316345,14.65794274,-9.13576,38.73767,near_center,FALSE,"Room in Lisbon, Portugal",45,4.93
73.40525328,Entire home/apt,2,0,lisbon,weekend,36.70262664,FALSE,semi_professional,84,8,4.503556324,0.474750341,2.61832091,9.535314594,-9.16665,38.747,suburban,FALSE,"Room in Lisbon, Portugal",7,4.57
56.28517824,Private room,2,1,lisbon,weekday,28.14258912,FALSE,Professional,100,10,2.972035803,0.233414829,3.136825708,10.92528596,-9.13386,38.73877,near_center,FALSE,"Room in Lisbon, Portugal",45,4.93
163.1097561,Entire home/apt,4,1,lisbon,weekend,40.77743902,FALSE,Professional,73,9,1.010514538,0.870930637,6.55328054,34.89359431,-9.15123,38.7118,near_center,FALSE,"Entire rental unit in Lisbon, Portugal",367,4.75
201.5712946,Entire home/apt,2,1,lisbon,weekday,100.7856473,FALSE,Professional,95,10,0.800111567,0.730716499,8.229813692,33.10158325,-9.14878,38.7116,city_center,FALSE,"Entire rental unit in Lisbon, Portugal",240,4.85
64.72795497,Private room,2,1,lisbon,weekend,32.36397749,FALSE,Professional,92,10,5.769377191,4.60379662,3.762113063,7.376698556,-9.20538,38.70536,outskirts,FALSE,"Private room in rental unit in Lisbon, Portugal",0,
110.9287054,Entire home/apt,2,0,lisbon,weekend,55.46435272,FALSE,semi_professional,89,9,0.811428386,0.597794116,15.80522686,48.36130559,-9.13034,38.71167,city_center,FALSE,"Entire rental unit in Lisbon, Portugal",0,
62.14821764,Private room,2,1,lisbon,weekday,31.07410882,TRUE,semi_professional,97,10,2.192538887,0.734714847,3.866144333,12.7708676,-9.12756,38.72972,near_center,FALSE,"Room in Lisbon, Portugal",5,4.6
137.5469043,Entire home/apt,2,1,lisbon,weekday,68.77345216,FALSE,Professional,100,10,1.102424251,0.900365779,6.113191517,26.79732702,-9.15231,38.71237,near_center,FALSE,"Entire rental unit in Lisbon, Portugal",367,4.75
119.6060038,Entire home/apt,3,2,lisbon,weekend,39.86866792,FALSE,Professional,91,9,0.879909812,0.692775382,7.354639729,39.81850862,-9.14955,38.7108,city_center,FALSE,"Entire rental unit in Lisbon, Portugal",18,4.83
119.7232645,Entire home/apt,2,0,lisbon,weekend,59.86163227,FALSE,Professional,74,8,0.709697103,0.40015878,8.077329228,50.20659692,-9.14514,38.71709,city_center,FALSE,"Room in Lisbon, Portugal",193,4.82
93.57410882,Private room,2,1,lisbon,weekday,46.78705441,FALSE,Professional,100,10,3.238483547,0.081516752,3.229388269,12.06084384,-9.14604,38.74112,suburban,FALSE,"Private room in rental unit in Lisbon, Portugal",2,4
152.7908068,Entire home/apt,4,1,lisbon,weekday,38.19770169,FALSE,Professional,100,10,2.117016069,1.561064157,4.032936182,14.3974173,-9.16267,38.7062,near_center,FALSE,"Entire rental unit in Lisbon, Portugal",186,4.56
